,person_id,id,name,role
5827,8055,tm125288,Sidney Lumet,DIRECTOR
5848,17056,tm92249,David Lynch,DIRECTOR
5876,136633,tm91688,Nobuhiko Obayashi,DIRECTOR
5966,17107,tm40187,Alfred Hitchcock,DIRECTOR
5993,25637,tm90293,John Ford,DIRECTOR
6012,26436,tm155267,Andrei Tarkovsky,DIRECTOR
6027,23530,tm73092,Peter Yates,DIRECTOR
6085,56405,tm14873,Don Siegel,DIRECTOR
6108,32174,tm19053,Elia Kazan,DIRECTOR
6127,34460,tm189614,Hal Ashby,DIRECTOR
6167,18133,tm153272,Peter Bogdanovich,DIRECTOR
6202,91918,tm12025,Ken Hughes,DIRECTOR
6237,6050,tm93644,Clint Eastwood,DIRECTOR
6282,24141,tm72895,Sam Peckinpah,DIRECTOR
6301,38952,tm99628,Bob Rafelson,DIRECTOR
6350,29799,tm32149,Akira Kurosawa,DIRECTOR
6381,17478,tm120964,Norman Jewison,DIRECTOR
6466,15224,tm12694,Richard Donner,DIRECTOR
6518,29799,tm41864,Akira Kurosawa,DIRECTOR
6551,36599,tm92635,Michael Anderson,DIRECTOR
6580,38986,tm102938,Robert Altman,DIRECTOR
6609,94658,tm14146,Mike Hodges,DIRECTOR
6656,23839,tm37446,Howard Hawks,DIRECTOR
6675,24762,tm79269,David Cronenberg,DIRECTOR
6712,32913,tm96076,George Stevens,DIRECTOR
6741,19848,tm97794,John Badham,DIRECTOR
6787,55813,tm96652,John Mackenzie,DIRECTOR
6800,17900,tm121766,John Huston,DIRECTOR
6831,46927,tm189175,René Laloux,DIRECTOR
6879,20558,tm660,Federico Fellini,DIRECTOR
6923,2115,tm11191,George Lucas,DIRECTOR
6944,495680,tm13613,Martin Rosen,DIRECTOR
6982,12152,tm12881,George A. Romero,DIRECTOR
6988,23732,tm68506,Ingmar Bergman,DIRECTOR
7026,1063,tm9997,Robert Aldrich,DIRECTOR
7055,11594,tm94637,Brian De Palma,DIRECTOR
7072,22355,tm119281,Arthur Penn,DIRECTOR
7100,32174,tm2159,Elia Kazan,DIRECTOR
7128,28108,tm121175,Jean-Pierre Melville,DIRECTOR
7183,1063,tm120801,Robert Aldrich,DIRECTOR
7201,5154,tm89382,Mel Brooks,DIRECTOR
7210,72455,tm73791,Gillo Pontecorvo,DIRECTOR
7220,503630,tm125870,Ellen Hovde,DIRECTOR
7221,53148,tm125870,Albert Maysles,DIRECTOR
7222,160180,tm125870,Muffie Meyer,DIRECTOR
